살림,음식,가족&결혼,패션&뷰티,건강/취미/스포츠,경제경영,고전,과학,공학,농업,동식물,수학,의학,만화,사회과학,외국문학작품,한국문학작품,문학잡지,문학이론,수험서/자격증,어린이 이과,어린이 문과,어린이 동화/명작/고전,어린이 문화&예술&인물,어린이 일반,어린이 언어,에세이,여행,역사,예술/대중문화,영어,일본어,중국어,한자,국어,기타외국어,번역/통역,유아,"인문학 일반
(인문학 기타)",철학,신화,종교,심리학,자기계발,잡지/전집,"좋은부모
(자녀교육)",청소년,컴퓨터/모바일
90452,53471,53511,53507,53537,3060,4527,51007,51365,120980,51285,51334,51272,3747,51052,89481,89482,51234,51179,34612,48867,89740,48873,48898,48917,48931,51380,63979,78,51085,49834,49889,49910,49927,4158,49905,49938,35096,53178,51501,51523,51535,51514,70241,3553,51789,1147,2643
53484,53495,53509,53504,53538,3062,2094,51160,51355,120981,51283,51329,,4669,51121,50922,51125,51218,51206,34625,48868,48905,48874,48899,48919,49222,52906,64303,1628,51082,49835,49886,49915,49926,,49906,49937,35098,51541,51502,51530,51536,51520,70229,11496,7253,7268,2632
90455,53493,53510,53506,53539,3058,2344,51095,51357,,51290,51331,,4671,51111,52650,69256,51215,51191,34626,48869,48910,48875,48900,48921,48933,52904,50847,4867,51087,49837,49885,49920,,,,,35095,51542,51503,51532,,51521,70230,2925,51792,50759,7439
90456,53491,,53508,53536,8586,4655,51098,51358,,51281,51324,,4670,51117,51265,51172,51230,51323,34629,49609,48907,48876,51820,48861,48941,52905,50850,4869,51092,49844,49890,49922,,,,,35097,51543,51500,51533,,51515,70232,33027,51798,50760,55981
53487,53492,,53505,53562,3065,12390,51189,51363,,51287,51327,,4673,69510,51258,51171,157672,51186,34639,48870,48908,49220,51822,48862,48943,51374,50846,147,51091,49843,,,,,,,35101,51412,51495,51534,,51518,70213,28463,51793,1141,55978
,53494,,,55182,3140,4436,51185,,,51289,,,36192,51113,51255,51167,51223,51190,34726,48871,48909,48877,48902,48896,48944,51398,50849,52596,51089,49875,,,,,,,35103,51547,51504,51527,,51522,70215,,90007,1143,55979
,53490,,,53558,8587,2149,51010,,,51279,,,3748,51119,51260,51175,51213,51196,34091,128216,48911,48878,48903,48865,48945,51376,50848,52598,51093,49838,,,,,,,35100,51549,51506,51528,,51519,70216,,3390,1140,55057
,53474,,,53719,3103,4440,51002,,,51288,,,3751,51396,51055,51177,52654,51184,179242,48872,48912,49223,49995,49224,48948,51423,50827,52597,51096,49833,,,,,,,35108,51551,51508,51531,,51516,70221,,7257,4410,55056
,53478,,,53560,2173,4441,51194,,,,,,3936,51411,51036,51065,,51182,36923,48822,48914,53065,48949,51815,89705,51425,50872,94,51103,49850,,,,,,,35112,51550,51509,51524,,51517,70222,,4288,1142,2607
,53480,,,53561,274,,51197,,,,,,53820,51401,51032,51247,,51309,36922,48844,48915,48863,,48824,,51844,50873,52599,50970,49849,,,,,,,14024,51555,51498,51525,,,70218,,51794,32663,2602
,53473,,,53559,282,,51293,,,,,,2559,66543,52652,51122,,51305,35778,,48916,48825,,48827,,51845,63868,1806,50989,49852,,,,,,,35104,51548,51499,,,,5247,,73196,32399,2601
,53479,,,53557,3069,,51301,,,,,,2564,51407,51044,50994,,51302,35797,,48904,48837,,48828,,51373,50858,2031,50987,49851,,,,,,,35134,51552,51497,,,,3812,,7259,1139,2606
,53472,,,53556,853,,51294,,,,,,2556,51008,51023,50993,,51300,35798,,,48846,,48839,,180236,50859,169,50978,49949,,,,,,,35135,51557,51510,,,,2952,,90418,2574,2608
,53497,,,53805,852,,51291,,,,,,4133,51364,51040,51210,,51297,35786,,,,,48840,,51402,110288,160,50979,49865,,,,,,,35136,51553,51511,,,,107822,,51773,4621,2663
,53496,,,53522,854,,51296,,,,,,4134,51372,50920,,,51313,35799,,,,,48843,,51394,110289,161,50980,49862,,,,,,,35137,51556,51512,,,,70219,,106628,,2665
,53499,,,53524,268,,51292,,,,,,4135,51360,50940,,,51198,35800,,,,,48848,,51427,63680,3802,50981,49861,,,,,,,35138,51558,51513,,,,70223,,51786,,2662
,53498,,,53568,273,,51043,,,,,,3313,51348,51168,,,,34895,,,,,48849,,51429,63681,36868,50982,49858,,,,,,,35139,51559,51458,,,,2944,,51785,,7395
,53483,,,53568,1632,,51275,,,,,,3723,53150,50919,,,,34942,,,,,,,51371,63978,158,50991,50003,,,,,,,35140,51560,51460,,,,147602,,51795,,2661
,53477,,,53570,55058,,51202,,,,,,2553,51368,50996,,,,,,,,,,,,110286,151,50985,49859,,,,,,,35105,51561,51462,,,,2946,,51790,,6163
,53475,,,53571,2169,,51205,,,,,,2562,51352,50998,,,,,,,,,,,,110287,5445,50984,49856,,,,,,,35107,51562,51450,,,,70234,,51762,,6165
,53481,,,53569,263,,51208,,,,,,2558,51354,50923,,,,,,,,,,,,50828,52604,50983,49855,,,,,,,71986,65327,51466,,,,70235,,51764,,2666
,,,,161753,11502,,51209,,,,,,3724,51068,51067,,,,,,,,,,,,50870,52605,50988,49854,,,,,,,35114,51540,51467,,,,70211,,51770,,6355
,,,,53528,175,,51199,,,,,,3746,51061,51062,,,,,,,,,,,,50871,76,50976,49857,,,,,,,49525,51539,51468,,,,70226,,,,2737
,,,,53514,11501,,51017,,,,,,2554,51066,51058,,,,,,,,,,,,63689,1438,51079,50001,,,,,,,35113,51546,51469,,,,70225,,,,2724
,,,,53520,2225,,51318,,,,,,6130,51064,51120,,,,,,,,,,,,63690,165,51076,49868,,,,,,,35118,51545,51470,,,,70227,,,,2732
,,,,53529,174,,51315,,,,,,3742,51059,50921,,,,,,,,,,,,50868,52602,51060,49867,,,,,,,73906,51384,51471,,,,70239,,,,3239
,,,,53526,3048,,51317,,,,,,3743,51086,51212,,,,,,,,,,,,50869,3938,51063,49871,,,,,,,35117,51381,51473,,,,70238,,,,2721
,,,,53530,32828,,51307,,,,,,2561,51078,,,,,,,,,,,,,63870,52600,51108,49869,,,,,,,70410,51385,51474,,,,,,,,5058
,,,,53534,180,,51310,,,,,,3750,51088,,,,,,,,,,,,,50852,163,51109,49870,,,,,,,35115,51538,51454,,,,,,,,5061
,,,,53525,249,,51312,,,,,,33126,51084,,,,,,,,,,,,,50853,52603,51115,49947,,,,,,,35119,51537,51456,,,,,,,,6589
,,,,54711,3104,,51337,,,,,,33125,51073,,,,,,,,,,,,,50845,167,51112,,,,,,,,70395,51419,2547,,,,,,,,2756
,,,,54710,2408,,51335,,,,,,9680,51090,,,,,,,,,,,,,63943,52607,51054,,,,,,,,35122,,51457,,,,,,,,2684
,,,,54708,3101,,51353,,,,,,7443,51075,,,,,,,,,,,,,63945,52609,51057,,,,,,,,35147,,51446,,,,,,,,1714
,,,,53523,,,,,,,,,3749,51074,,,,,,,,,,,,,63862,52608,51056,,,,,,,,35123,,51451,,,,,,,,2753
,,,,147647,,,,,,,,,150895,51081,,,,,,,,,,,,,63863,5558,51053,,,,,,,,35126,,51455,,,,,,,,6188
,,,,53567,,,,,,,,,69398,51141,,,,,,,,,,,,,50854,5557,51049,,,,,,,,35141,,51449,,,,,,,,35322
,,,,53564,,,,,,,,,2552,51161,,,,,,,,,,,,,50855,5559,51047,,,,,,,,35142,,51463,,,,,,,,6627
,,,,53573,,,,,,,,,,51162,,,,,,,,,,,,,50829,52614,51042,,,,,,,,35148,,51464,,,,,,,,2687
,,,,53574,,,,,,,,,,51159,,,,,,,,,,,,,50856,62611,51051,,,,,,,,35149,,51465,,,,,,,,6720
,,,,53572,,,,,,,,,,51150,,,,,,,,,,,,,50857,121,50963,,,,,,,,120084,,51453,,,,,,,,6360
,,,,140262,,,,,,,,,,51145,,,,,,,,,,,,,50864,130,50958,,,,,,,,,,51445,,,,,,,,6361
,,,,53517,,,,,,,,,,51147,,,,,,,,,,,,,50865,1955,50962,,,,,,,,,,51475,,,,,,,,2502
,,,,53540,,,,,,,,,,51154,,,,,,,,,,,,,63684,116,51020,,,,,,,,,,51476,,,,,,,,6357
,,,,53552,,,,,,,,,,51149,,,,,,,,,,,,,73807,117,51012,,,,,,,,,,51480,,,,,,,,6350
,,,,53718,,,,,,,,,,51144,,,,,,,,,,,,,63981,118,51195,,,,,,,,,,51481,,,,,,,,6385
,,,,53543,,,,,,,,,,51152,,,,,,,,,,,,,63982,1960,51211,,,,,,,,,,51482,,,,,,,,6386
,,,,53544,,,,,,,,,,51129,,,,,,,,,,,,,50875,3826,51009,,,,,,,,,,51483,,,,,,,,35323
,,,,53546,,,,,,,,,,51136,,,,,,,,,,,,,63848,1961,51003,,,,,,,,,,51484,,,,,,,,6351
,,,,53548,,,,,,,,,,65238,,,,,,,,,,,,,63869,1962,51006,,,,,,,,,,51485,,,,,,,,6352
,,,,53551,,,,,,,,,,51131,,,,,,,,,,,,,63829,3825,51000,,,,,,,,,,51486,,,,,,,,6437
,,,,53549,,,,,,,,,,51134,,,,,,,,,,,,,63513,27795,51018,,,,,,,,,,51487,,,,,,,,6996
,,,,53550,,,,,,,,,,51308,,,,,,,,,,,,,63514,2032,51014,,,,,,,,,,51489,,,,,,,,7006
,,,,53578,,,,,,,,,,51311,,,,,,,,,,,,,,89,51025,,,,,,,,,,51490,,,,,,,,36134
,,,,114987,,,,,,,,,,51304,,,,,,,,,,,,,,90,114988,,,,,,,,,,51491,,,,,,,,2757
,,,,53531,,,,,,,,,,51306,,,,,,,,,,,,,,2211,51176,,,,,,,,,,51492,,,,,,,,2350
,,,,53519,,,,,,,,,,51346,,,,,,,,,,,,,,5566,,,,,,,,,,,51452,,,,,,,,6369
,,,,53515,,,,,,,,,,51344,,,,,,,,,,,,,,84,,,,,,,,,,,51448,,,,,,,,387
,,,,,,,,,,,,,,51345,,,,,,,,,,,,,,52620,,,,,,,,,,,51440,,,,,,,,6381
,,,,,,,,,,,,,,51347,,,,,,,,,,,,,,3266,,,,,,,,,,,51441,,,,,,,,2767
,,,,,,,,,,,,,,51341,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,2770
,,,,,,,,,,,,,,51343,,,,,,,,,,,,,,2215,,,,,,,,,,,,,,,,,,,6346
,,,,,,,,,,,,,,51326,,,,,,,,,,,,,,2216,,,,,,,,,,,,,,,,,,,6889
,,,,,,,,,,,,,,51330,,,,,,,,,,,,,,2217,,,,,,,,,,,,,,,,,,,2615
,,,,,,,,,,,,,,51333,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,3023
,,,,,,,,,,,,,,51336,,,,,,,,,,,,,,1442,,,,,,,,,,,,,,,,,,,2621
,,,,,,,,,,,,,,51338,,,,,,,,,,,,,,3431,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51240,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51241,,,,,,,,,,,,,,52591,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51238,,,,,,,,,,,,,,1753,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51251,,,,,,,,,,,,,,52593,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,